bhk,rent,size,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,posted_on,floor_level,suburb,id
2,10000,1100,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Bandel,1
2,20000,800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Kankurgachi,2
2,17000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Sector II,3
2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,1,Dum Dum Park,4
2,7000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,April,Ground,Thakurpukur,5
2,10000,700,Super Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,June,Ground,Malancha,6
1,5000,250,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,June,1,Malancha,7
3,25000,1200,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,1,AA I,8
1,5000,400,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,June,1,Kestopur,9
1,5500,375,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,May,1,Dum Dum Jn,10
3,40000,1286,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,June,1,AA I,11
2,6000,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Barasat,12
2,10000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Behala,13
2,11000,2000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Behala Chowrasta,14
2,6000,660,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Behala,15
2,7900,650,Carpet Area,Kolkata,Unfurnished,Family,1,Contact Owner,July,1,Santoshpur,16
2,9000,400,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Owner,June,2,Garia Station Rd,17
1,4000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Garia Station Rd,18
3,6500,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Joka,19
1,8000,400,Super Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,May,1,Sreebhumi,20
2,7000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Newtown,21
1,5300,355,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,June,1,Dum Dum,22
2,8500,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,4,Baguiati,23
1,7500,350,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Baghajatin Place,24
2,15000,900,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,VIP Rd,25
2,6000,550,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,VIP Rd,26
2,5000,500,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,Ground,Baruipur,27
3,22000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Dum Dum Park,28
2,15000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Sreebhumi,29
2,12500,800,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Agent,June,2,Shyam Bazar,30
2,7000,630,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Birati,31
2,21000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,June,1,Bansdroni,32
1,10000,270,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,1,188,33
2,7200,630,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Birati,34
1,5000,600,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,2,Behala,35
2,8500,700,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,April,4,Baruipur,36
1,6000,300,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Ballygunge,37
2,4600,400,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,May,3,Behala,38
2,12000,650,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,July,Ground,Baishnabghata Patuli Township,39
3,30000,2000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Behala,40
3,15000,1068,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,May,Ground,Bansdroni,41
1,7500,150,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,1,Bidhannagar,42
1,7500,450,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,2,Newtown,43
2,5000,800,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,Ground,Baruipur,44
2,15000,1000,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,April,Ground,Bansdroni,45
1,7000,600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,Ground,Behala,46
2,6000,1200,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Sahaganj,47
2,6000,1200,Super Area,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,June,2,Sahaganj,48
2,7000,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,July,Ground,DH Road,49
1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,July,1,Kasba,50
2,10000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,June,7,Sarsuna,51
3,30000,2000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Naihati,52
1,3500,250,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,Baksara,53
2,8000,1100,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,June,Ground,Naihati,54
1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,July,Ground,Kasba,55
2,7500,600,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,Ground,DH Road,56
1,7500,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Jadavpur,57
1,7500,680,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Jadavpur,58
2,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,June,1,Sector 1,59
2,16000,850,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,June,1,Sector 1,60
2,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Bandel,61
3,40000,1500,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,Ground,Beleghata,62
2,5500,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,Baishnabghata Patuli Township,63
2,6500,700,Super Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Rajpur Sonarpur,64
1,8000,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Lake Town,65
3,14500,1800,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,Ground,Belghoria,66
1,8200,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,May,1,Rabindrapally,67
6,20000,1000,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,June,1,Rajpur Sonarpur,68
2,6700,800,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,1,Baishnabghata Patuli Township,69
1,10000,435,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Kasba,70
2,7000,700,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,May,Ground,Dum Dum Jn,71
2,6500,450,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,1,Ajoy Nagar,72
2,8500,550,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,May,2,Kasba,73
2,18000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2,Contact Agent,June,Ground,Bidhannagar,74
2,12000,550,Carpet Area,Kolkata,Semi-Furnished,Family,2,Contact Owner,June,Ground,Baghajatin Place,75
1,9000,600,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,May,2,Behala,76
1,6000,500,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,June,Ground,New Garia,77
2,20000,1000,Super Area,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,April,1,Anandapur,78
1,5000,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,1,Dum Dum Jn,79
2,10000,500,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,3,Rabindrapally,80
2,15000,900,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,June,1,Sector 1,81
3,22000,1300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,June,Ground,Sector II,82
4,35000,1600,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,June,1,Sector III,83
3,21000,1450,Super Area,Kolkata,Unfurnished,Family,2,Contact Owner,May,Ground,Ajoy Nagar,84
2,25000,1100,Super Area,Kolkata,Furnished,Bachelors,2,Contact Agent,July,2,AA I,85
2,14000,700,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,July,Ground,Kudghat,86
3,8000,750,Super Area,Kolkata,Unfurnished,Family,1,Contact Owner,May,Ground,Sakher Bazar,87
1,8000,300,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,May,1,Naktala,88
3,15000,1600,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,April,1,Garia,89
2,14000,1000,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Kasba,90
1,5000,20,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,May,2,Dakshineswar,91
1,3900,200,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,June,2,Shyam Bazar,92
1,6300,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,June,1,NDITA,93
2,13000,550,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,July,1,NDITA,94
1,6800,300,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,July,1,NDITA,95
2,8000,800,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,May,1,Behala Chowrasta,96
2,10000,740,Carpet Area,Kolkata,Unfurnished,Bachelors,1,Contact Owner,May,Ground,Rajpur Sonarpur,97
2,18000,1300,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,April,1,Santoshpur,98
2,8000,650,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,June,Ground,Garia Station Rd,99
